,ARID,ORID,PHASE,STA,ATIME,TIMEDEF,LAT,LON,DEPTH,OTIME
244,59094544,6329461,P,LPAZ,2010135,d,-23.458615,-176.569,52.451935,2010135
245,59094603,6329385,P,ASAR,2010135,d,-3.0714829,147.78617,0.0,2010135
246,59094781,6329385,P,WRA,2010135,d,-3.0714829,147.78617,0.0,2010135
247,59094882,6329385,P,YKA,2010135,d,-3.0714829,147.78617,0.0,2010135
248,59094937,6329385,P,PETK,2010135,d,-3.0714829,147.78617,0.0,2010135
249,59094809,6328973,P,ASAR,2010135,d,5.6406771,125.05346,0.0,2010135
250,59094846,6328973,P,STKA,2010135,d,5.6406771,125.05346,0.0,2010135
251,59094938,6328973,P,WRA,2010135,d,5.6406771,125.05346,0.0,2010135
252,59095681,6329044,P,LPAZ,2010135,d,-21.595892,-68.055627,128.20942,2010135
253,59095757,6329090,P,ASAR,2010135,d,-11.688973,166.87563,0.0,2010135
254,59095774,6329090,P,STKA,2010135,d,-11.688973,166.87563,0.0,2010135
255,59095845,6329090,P,WRA,2010135,d,-11.688973,166.87563,0.0,2010135
256,59096060,6329090,P,MKAR,2010135,d,-11.688973,166.87563,0.0,2010135
257,59095769,6329043,P,PLCA,2010135,d,-21.595892,-68.055627,128.20942,2010135
258,59095796,6329043,P,TORD,2010135,d,-21.595892,-68.055627,128.20942,2010135
259,59096053,6329043,P,YKA,2010135,d,-21.595892,-68.055627,128.20942,2010135
260,59096159,6329540,P,ASAR,2010135,d,-5.7859153,146.43659,102.09391,2010135
261,59096161,6329540,P,STKA,2010135,d,-5.7859153,146.43659,102.09391,2010135
262,59096180,6329540,P,MJAR,2010135,d,-5.7859153,146.43659,102.09391,2010135
263,59096261,6329540,P,WRA,2010135,d,-5.7859153,146.43659,102.09391,2010135
264,59096333,6329540,P,VNDA,2010135,d,-5.7859153,146.43659,102.09391,2010135
265,59096347,6329540,P,ZALV,2010135,d,-5.7859153,146.43659,102.09391,2010135
266,59096356,6329540,P,MKAR,2010135,d,-5.7859153,146.43659,102.09391,2010135
267,59096371,6329540,P,CMAR,2010135,d,-5.7859153,146.43659,102.09391,2010135
268,59096395,6329540,P,NVAR,2010135,d,-5.7859153,146.43659,102.09391,2010135
269,59096416,6329540,P,ILAR,2010135,d,-5.7859153,146.43659,102.09391,2010135
270,59096417,6329540,P,USRK,2010135,d,-5.7859153,146.43659,102.09391,2010135
271,59096430,6329540,P,KSRS,2010135,d,-5.7859153,146.43659,102.09391,2010135
272,59096439,6329540,P,PETK,2010135,d,-5.7859153,146.43659,102.09391,2010135
273,59097689,6329540,P,CTA,2010135,d,-5.7859153,146.43659,102.09391,2010135
