ORID,LAT,LON,DEPTH,ORIGIN,EVID,MB,MS,ML,ARID,PHASE,DELTA,STA,TIME,IPHASE,AZIMUTH,DELTIM,DELAZ,JDATE,STA_LAT,STA_LON,STATYPE,ONDATE,OFFDATE,TIMEDEF,ATIME,OTIME
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59087900,P,64.029719,NOA,2010-05-15 09:17:31.500000000,P,73.980275,0.62151832,3.3179385,2010135,61.0397,11.2148,ar,1995302.0,2286324.0,d,1273915051.5,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59090248,P,63.14895,HFS,2010-05-15 09:17:25.982000128,P,93.17983,0.41349958,7.0734383,2010135,60.13347,13.69449,ar,2002350.0,2286324.0,d,1273915045.982,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59090843,P,26.633018,KURK,2010-05-15 09:12:37.459689984,tx,132.08496,0.74064467,3.7263145,2010135,50.62264,78.53039,ar,2007319.0,2286324.0,d,1273914757.459689,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59131847,P,66.995377,GERES,2010-05-15 09:17:51.604460032,P,49.799836,0.551768,21.346338,2010135,48.84511,13.70156,ar,2002157.0,2286324.0,d,1273915071.60446,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59131848,P,25.190258,USRK,2010-05-15 09:12:23.270780160,P,245.22486,0.551768,18.372561,2010135,44.1998,131.9888,ar,2008287.0,2286324.0,d,1273914743.27078,1273914416.445329
6332921,31.780822,103.97332,0.0,2010-05-15 09:06:56.445329920,6328259,3.9769903,4.623518,4.0133805,59131849,P,93.323287,TORD,2010-05-15 09:20:13.575709952,P,54.076526,0.551768,66.267236,2010135,13.14771,1.69471,ar,2005270.0,2286324.0,d,1273915213.575709,1273914416.445329
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088056,P,47.590367,MKAR,2010-05-15 09:29:09.624999936,P,340.70995,0.42218475,69.354753,2010135,46.79368,82.29057,ar,2000092.0,2286324.0,d,1273915749.624999,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088065,P,53.255354,NVAR,2010-05-15 09:29:55.474999808,Pn,284.38139,0.93818122,19.333235,2010135,38.4296,-118.3035,ar,1997260.0,2286324.0,d,1273915795.474999,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088076,P,56.821279,FINES,2010-05-15 09:30:19.821340160,Pn,58.706961,0.88868994,10.743409,2010135,61.4436,26.0771,ar,1993322.0,2286324.0,d,1273915819.82134,1273915234.28894
6332946,57.233819,162.32579,0.0,2010-05-15 09:20:34.288940032,6328324,4.0527006,3.3736986,3.1716116,59088093,P,34.371362,SONM,2010-05-15 09:27:23.500000000,P,58.725535,0.39911182,7.0647265,2010135,47.83469,106.39499,ar,2000245.0,2286324.0,d,1273915643.5,1273915234.28894
